,latitude,longitude
2022-05-10 14:30:38,78.317457,-7.457912
2022-05-10 15:00:39,78.314957,-7.462062
2022-05-10 15:30:26,78.312648,-7.464815
2022-05-10 16:00:41,78.310281,-7.467114
2022-05-10 16:30:42,78.307885,-7.469138
2022-05-10 17:00:38,78.305418,-7.471427
2022-05-10 17:30:40,78.302935,-7.473139
2022-05-10 18:00:38,78.3004,-7.474395
2022-05-10 18:30:25,78.297746,-7.475684
2022-05-10 19:00:38,78.294979,-7.476912
2022-05-10 19:30:37,78.292227,-7.478408
2022-05-10 20:00:38,78.289482,-7.480416
2022-05-10 20:30:39,78.286716,-7.482882
2022-05-10 21:00:39,78.28402,-7.484906
2022-05-10 21:30:26,78.281405,-7.486167
2022-05-10 22:00:38,78.278698,-7.487544
2022-05-10 22:30:38,78.275848,-7.489989
2022-05-10 23:00:38,78.273015,-7.492174
2022-05-10 23:30:38,78.270202,-7.495015
2022-05-11 00:00:39,78.267415,-7.499028
2022-05-11 00:30:28,78.264726,-7.504293
2022-05-11 01:00:40,78.262035,-7.510411
2022-05-11 01:30:42,78.259528,-7.517042
2022-05-11 02:00:37,78.257314,-7.522686
2022-05-11 02:30:37,78.255257,-7.528105
2022-05-11 03:00:37,78.253535,-7.533212
2022-05-11 03:30:28,78.251886,-7.538019
2022-05-11 04:00:38,78.250217,-7.542383
2022-05-11 04:30:38,78.248556,-7.546178
2022-05-11 05:00:38,78.246859,-7.549402
2022-05-11 06:31:57,78.240861,-7.559295
2022-05-11 07:00:38,78.238794,-7.562379
2022-05-11 07:30:38,78.236515,-7.565762
2022-05-11 08:00:39,78.234112,-7.568928
2022-05-11 08:30:38,78.231646,-7.572856
2022-05-11 09:00:38,78.229092,-7.576408
2022-05-11 09:30:28,78.226449,-7.579328
2022-05-11 10:00:38,78.223463,-7.581828
2022-05-11 10:30:39,78.220148,-7.584704
2022-05-11 11:00:38,78.216487,-7.588564
2022-05-11 11:30:39,78.21278,-7.594074
2022-05-11 12:00:38,78.209083,-7.600971
2022-05-11 12:30:28,78.205542,-7.609002
2022-05-11 13:00:37,78.202152,-7.617139
2022-05-11 13:30:38,78.198928,-7.625011
2022-05-11 14:00:38,78.195803,-7.632661
